"","club.name","lat","lng"
"1","A3 Soccer",38.985429,-76.669142
"2","AC Cugini",39.320766,-77.284353
"3","Alexandria Soccer Association",38.8205437272727,-77.0585374545455
"4","Alliance Soccer Club",39.156904,-77.19345825
"5","Annandale Boys & Girls Club",38.8345742,-77.1899264
"6","Annandale United FC",38.83424675,-77.20453575
"7","Antietam United Soccer Club",39.5750456666667,-77.7632043333333
"8","Arlington Soccer Association",38.8886284666667,-77.1268332666667
"9","Arundel Soccer Association",39.0823858,-76.6656488
"10","Barca Futebol Clube",38.76929725,-77.2142505
"11","Bethesda Soccer Club",39.1368971818182,-77.2236676363636
"12","Braddock Road Youth Club",38.829735,-77.290846
"13","Broadneck SC",39.02713,-76.44487
"14","Burke Athletic Club",38.80767875,-77.290635
"15","Calvert Soccer Association",38.5713645714286,-76.6178687142857
"16","Calverton Soccer Club",39.1016397777778,-77.0558786666667
"17","Capital FC",38.8813815,-77.0000535
"18","Chantilly Soccer Club",38.8882115,-77.385286
"19","Chantilly Youth Association",38.89242125,-77.42107225
"20","Culpeper Soccer Club",38.558201,-78.056116
"21","D.C. Stoddert",39.0401579,-77.1179298
"22","Damascus Soccer Club",39.137122,-77.180403
"23","Davidsonville Athletic Association SC",38.943094,-76.678714
"24","Eastern Panhandle Inter County",39.3545875,-77.8948645
"25","Ellicott City Soccer Club",39.303752,-76.899395
"26","Fairfax Police Youth Club",38.7983511666667,-77.2455691666667
"27","FC Frederick",39.4039623333333,-77.411684
"28","FC Virginia United",39.0858153333333,-77.543362
"29","FSV Ashburn",39.071225,-77.471634
"30","Fredericksburg FC",38.231618,-77.405566
"31","Fredericksburg Soccer Club Inc",38.4423086,-77.5165772
"32","Front Royal Soccer Association",38.921256,-78.205312
"33","Ft. Washington",38.9967585,-76.94721025
"34","Future Soccer Club",39.1185560769231,-77.1491993846154
"35","Great Falls SC",38.9719559230769,-77.301106
"36","Gunston Soccer Club",38.7129531428571,-77.1094201428571
"37","Hagerstown Soccer Club",39.678552,-77.755837
"38","Herndon Youth Soccer Association",39.000085,-77.4131738333333
"39","La Plata Soccer Academy",38.54300825,-76.91553275
"40","Laurel Soccer Club",39.1107084444444,-77.077072
"41","Lee-Mt. Vernon Sports Club",38.7812507142857,-77.1662994285714
"42","Leesburg Football Club",39.1347876,-77.5608166
"43","Loudoun Soccer",38.9716815,-77.521984125
"44","Maryland Rush",38.9865885,-76.5359825
"45","Maryland Rush Montgomery",39.137122,-77.180403
"46","Maryland United FC",38.9536549,-76.74655525
"47","McLean Youth Incorporated",38.9309496666667,-77.1828035
"48","Montgomery Soccer Inc.",39.137122,-77.180403
"49","Northern Virginia Soccer Club",38.662132,-77.47729
"50","Olney Boys & Girls Club",39.169469,-77.090871
"51","Old Dominion Football Club",39.0955448,-77.639829
"52","Pasadena Soccer Club",39.1313177272727,-76.5164719090909
"53","Potomac Soccer Association",39.134264,-77.2028828571429
"54","Premier Athletics Club",38.875777,-77.2130158571429
"55","Prince William Courage",38.6460078333333,-77.33526725
"56","Prince William Soccer Club",38.6432958888889,-77.3481275555555
"57","Reston Soccer Association",38.9425666666667,-77.33095
"58","Severna Park Athletic Association",39.096409,-76.586173
"59","Soccer Association Of Columbia",39.2385881111111,-76.8711398888889
"60","South County Athletic Association",38.7190605,-77.235456
"61","Southwestern Youth Association",38.846114,-77.51509
"62","Springfield South County Youth Club",38.7574757,-77.1850153
"63","St Mary's Soccer",38.2909697142857,-76.558834
"64","Stafford Soccer Club",38.4185959,-77.2811932
"65","Sterling Youth Soccer Association",39.054282,-77.381757
"66","Takoma Park",39.05613675,-76.98550525
"67","Team America Football Club",38.84141975,-77.202205
"68","Thunder Soccer Club",39.2014288,-76.9091516
"69","Tri-County Soccer Club",39.4811535,-77.861019
"70","VA Indpt Soccer Team Assoc.",38.7271276,-77.8346871
"71","Vienna Youth Soccer",38.8958216666667,-77.2580224166667
"72","Virginia Blackwatch SC",38.9842845,-77.8252205
"73","Virginia Soccer Association",38.83976575,-77.630389
"74","Waldorf Soccer Club",38.557151,-76.84171
"75","Warrenton Youth Sports Club",38.713249,-77.803367
"76","Washington Soccer Club",38.9370998571429,-77.0868468571429
"77","Winchester Youth Soccer Club",39.091351,-78.182614
"78","Woodbridge Soccer Club",38.68507,-77.304076
